freq,unit,airpol,src_crf,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,MIO_T,GHG,CRF1,SE	47.36205 	43.60333 	41.26596 	39.66311 	38.08018 	38.04119 	37.50598 	36.78275 	36.56932 	34.78353 	31.98849 	33.26065 	30.79019 	30.31155 	33.67252 
A,MIO_T,GHG,CRF1,SI	16.46315 	16.38342 	15.75785 	15.0328 	13.33193 	13.50073 	14.36865 	14.46502 	14.33733 	13.81069 	12.65764 	12.85802 	12.50062 	11.84882 	12.51132 
A,MIO_T,GHG,CRF1,SK	33.58941 	33.03361 	30.69219 	30.591 	28.14294 	28.72038 	28.94342 	29.887 	29.63396 	27.92678 	25.55228 	28.18045 	25.80766 	25.08558 	23.39602 
A,MIO_T,GHG,CRF1,TR	290.79128 	312.33489 	324.66266 	311.61797 	329.83394 	346.45976 	365.12573 	384.62347 	378.63984 	370.39713 	371.9955 	408.26372 	401.87871 	397.7838 	419.88928 
A,MIO_T,GHG,CRF1A,AT	58.65242 	56.4361 	54.20441 	54.41577 	50.72047 	52.56836 	53.84171 	55.58406 	54.35912 	54.73412 	49.7602 	51.70425 	48.03802 	44.18212 	42.70548 
A,MIO_T,GHG,CRF1A,BE	98.62455 	89.22406 	88.3964 	88.17798 	82.25971 	86.46647 	84.64556 	84.16934 	84.84001 	85.12694 	78.17234 	81.23836 	75.90509 	72.73485 	72.60367 
A,MIO_T,GHG,CRF1A,BG	44.63487 	49.4523 	44.82178 	39.17336 	41.57225 	43.80912 	40.62806 	42.79701 	39.40145 	38.33687 	33.02317 	38.81496 	43.02985 	31.2221 	29.12898 
A,MIO_T,GHG,CRF1A,CH	42.9593 	38.8941 	40.3152 	41.27173 	37.2395 	36.93194 	37.34502 	36.37221 	35.09912 	34.98927 	32.57895 	34.09087 	31.17059 	30.37914 	29.80689 
A,MIO_T,GHG,CRF1A,CY	7.51935 	7.25735 	6.77028 	5.84503 	5.97582 	6.10138 	6.49206 	6.57316 	6.49876 	6.55232 	6.04269 	6.20366 	6.23359 	6.18532 	6.37421 
A,MIO_T,GHG,CRF1A,CZ	106.76698 	104.33295 	100.7707 	96.37541 	93.41776 	94.61875 	96.38737 	97.59319 	95.7088 	91.09876 	82.46533 	86.27335 	85.65313 	75.92217 	71.22364 
A,MIO_T,GHG,CRF1A,DE	787.13789 	761.62838 	773.83263 	793.77996 	753.33345 	759.01219 	759.17264 	743.55729 	715.39231 	668.98986 	608.62614 	639.67099 	634.08151 	558.31173 	539.65394 
A,MIO_T,GHG,CRF1A,DK	48.57612 	43.43054 	38.95067 	40.73538 	36.4699 	34.09118 	35.71493 	33.38094 	33.4134 	29.88358 	27.07789 	28.37323 	27.24047 	24.83794 	22.50695 
A,MIO_T,GHG,CRF1A,EE	18.69447 	18.56507 	17.13954 	18.9232 	18.3735 	15.57069 	17.24978 	18.29632 	17.49393 	11.98845 	9.18462 	10.38197 	11.98361 	8.7681 	8.12202 
A,MIO_T,GHG,CRF1A,EL	91.76627 	90.59365 	86.81013 	76.63812 	73.27405 	70.06189 	66.11841 	69.277 	66.35346 	60.48265 	51.10433 	53.08702 	53.97229 	48.26102 	49.7378 
A,MIO_T,GHG,CRF1A,ES	262.16961 	263.32928 	257.87547 	232.44736 	230.19417 	245.92316 	235.64018 	250.50676 	245.39054 	229.38176 	192.09276 	208.48909 	214.53536 	196.46824 	193.08159 
A,MIO_T,GHG,CRF1A,EU27_2020	3200.18111 	3091.78531 	3040.11719 	2961.3435 	2812.24854 	2869.50523 	2871.70365 	2889.97221 	2819.4733 	2684.28159 	2418.3984 	2585.51926 	2536.064 	2297.50486 	2236.50085 
A,MIO_T,GHG,CRF1A,FI	59.92552 	52.46048 	47.17648 	47.82572 	44.00615 	40.3976 	43.10519 	40.6408 	41.69803 	38.70451 	34.13613 	33.98241 	32.63837 	28.29635 	26.56248 
A,MIO_T,GHG,CRF1A,FR	353.80165 	330.67134 	336.72104 	337.39367 	304.42568 	310.76893 	314.64204 	315.86891 	300.34249 	294.99786 	263.25795 	286.69651 	276.66261 	254.71256 	246.4055 
