freq,wst_oper,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,DSP_L_OTH,THS_T,AL	: 	: 	: 	476 	779 	970 	1016 	993 	1017 	872 	846 	693 	629 	647 	: 
A,DSP_L_OTH,THS_T,AT	153 	230 	207 	199 	194 	144 	132 	103 	113 	106 i	137 b	152 	150 	124 	: 
A,DSP_L_OTH,THS_T,BA	1042 	1034 	873 	894 	894 	942 	947 	946 	946 	1087 i	1089 	: 	920 	905 	916 
A,DSP_L_OTH,THS_T,BE	81 	41 	32 	42 	46 	40 	38 	41 	46 	44 	19 	40 	12 	9 	9 p
A,DSP_L_OTH,THS_T,BG	3041 	2568 	2323 	2167 	2217 	1994 	1851 	1903 	1750 	1903 i	1903 i	892 	1695 	1397 	: 
A,DSP_L_OTH,THS_T,CH	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,DSP_L_OTH,THS_T,CY	498 	476 	467 	434 	399 	410 	424 	423 	393 	379 	364 	354 	363 	389 	444 
A,DSP_L_OTH,THS_T,CZ	2162 e	2167 e	1828 e	1815 e	1827 e	1755 e	1789 e	2355 b	2430 	2467 	2774 	2768 	2655 	2473 	: 
A,DSP_L_OTH,THS_T,DE	206 	247 	107 	684 i	682 i	646 i	522 i	451 i	422 i	413 i	386 i	185 i	414 i	486 i	849 i
A,DSP_L_OTH,THS_T,DK	: 	124 b	98 	78 	66 	61 	56 	48 	53 	46 	41 	74 	70 	81 	88 p
A,DSP_L_OTH,THS_T,EE	267 	239 	129 	53 	30 	35 	51 	99 	115 	85 	75 	103 	66 	3 	66 
A,DSP_L_OTH,THS_T,EL	4903 	4578 	4507 	4421 	4470 	4426 	4415 i	4335 i	4330 i	4359 	4284 	4340 	4386 	4389 	: 
A,DSP_L_OTH,THS_T,ES	14789 	14276 	13263 	11801 	12023 	12129 	11658 	11263 	11917 	11365 	10853 	10438 	10807 	10491 p	10551 e
A,DSP_L_OTH,THS_T,EU27_2020	78615 	73618 	67425 	62899 i	59209 i	56529 i	56736 i	56448 i	55637 i	55332 i	53772 i	52238 i	51719 i	: 	49502 i
A,DSP_L_OTH,THS_T,FI	1136 	1093 	901 	672 	458 	315 	90 	26 	22 	30 	17 	14 	11 	13 	10 
A,DSP_L_OTH,THS_T,FR	10078 e	9731 	9281 e	8830 	8490 e	8151 	10569 e	10700 e	9738 e	9707 e	8697 e	9036 e	7886 e	7654 e	7559 ep
A,DSP_L_OTH,THS_T,HR	1537 	1496 	1380 	1413 	1310 	1319 	1288 	1243 	1171 	1073 	1023 	1030 	1025 	950 	957 
A,DSP_L_OTH,THS_T,HU	2838 	2563 	2609 	2415 	2181 	1991 	1888 	1825 	1851 	1918 	2124 	2061 	2164 	2232 	2105 
A,DSP_L_OTH,THS_T,IE	1496 	1344 	1028 	: 	537 	: 	711 	623 	418 	472 	517 b	504 	459 	452 	: 
A,DSP_L_OTH,THS_T,IS	110 	108 	110 	110 	116 	113 	126 	143 	148 	: 	107 	98 	75 	62 	: 
A,DSP_L_OTH,THS_T,IT	15015 	13206 	11720 	10914 	9332 	7819 	7432 	6927 	6486 	6283 	5817 	5619 	5173 	4599 	: 
A,DSP_L_OTH,THS_T,LT	1079 	1034 	971 	798 	748 	702 	379 	421 	320 	284 	220 	207 	180 	100 	75 
A,DSP_L_OTH,THS_T,LU	55 	50 	50 	48 	50 	26 	20 b	21 	21 	22 e	19 i	20 	13 	14 	13 e
A,DSP_L_OTH,THS_T,LV	617 	531 	516 	521 	515 	494 	516 	518 	462 	482 i	480 	456 	380 	: 	266 
A,DSP_L_OTH,THS_T,ME	: 	271 e	270 e	287 e	284 e	294 e	290 e	: 	280 e	301 e	268 e	297 e	312 e	332 e	347 e
A,DSP_L_OTH,THS_T,MK	721 	735 	786 	793 	765 	786 	797 	714 	625 	632 i	630 i	632 	606 	622 	: 
A,DSP_L_OTH,THS_T,MT	226 	213 	211 	210 	219 	300 	222 	248 	272 	321 	274 	269 	273 	246 	255 
A,DSP_L_OTH,THS_T,NL	145 	151 	138 	131 	128 	125 	127 	124 	125 	124 	127 	121 p	118 p	118 	124 
A,DSP_L_OTH,THS_T,NO	137 	56 	44 	52 	60 b	74 	167 b	138 	124 	154 	90 b	135 	129 	214 	111 
A,DSP_L_OTH,THS_T,PL	8037 	8400 	8085 	6997 e	6031 be	5897 e	5331 e	5000 e	5191 e	5487 e	5218 	5296 	5108 	4067 b	4257 
A,DSP_L_OTH,THS_T,PT	3381 	3048 	2593 	2320 	2307 	2221 	2144 	2335 	2518 	2505 	3009 	2809 	2929 	3019 	2883 
A,DSP_L_OTH,THS_T,RO	4813 b	4057 	3427 	3503 	3558 	3522 	3741 	4052 	4095 	4120 	4114 	4262 	4253 	4407 	: 
A,DSP_L_OTH,THS_T,RS	1889 	2090 	1830 	1920 	1670 	1360 	1490 	1800 	1950 	2020 	: 	2356 	2457 	2461 	: 
A,DSP_L_OTH,THS_T,SE	38 	33 	27 	28 	27 	35 	28 	20 	30 	35 	21 be	24 e	25 e	46 e	27 be
A,DSP_L_OTH,THS_T,SI	571 	481 	316 	224 	208 	210 	78 	99 	97 	108 	69 	66 	81 	103 	116 
A,DSP_L_OTH,THS_T,SK	1325 	1240 	1211 	1152 	1158 	1226 	1236 	1246 	1248 	1197 	1189 	1099 	1022 	993 	1008 
A,DSP_L_OTH,THS_T,TR	24904 	26319 e	25552 	25267 e	27864 	27415 e	28492 	28838 e	28238 	28634 e	28061 	28418 e	: 	: 	: 
A,DSP_L_OTH,THS_T,XK	: 	: 	: 	: 	: 	316 	395 	409 	407 	451 i	456 	472 	488 	474 	469 
A,GEN,KG_HAB,AL	: 	: 	: 	325 i	425 i	491 i	452 e	436 e	462 	381 	369 	311 	295 	306 	: 
A,GEN,KG_HAB,AT	562 	573 	579 	578 	565 	560 	564 	570 	579 	588 	834 b	835 	803 	782 	: 
A,GEN,KG_HAB,BA	332 	340 	340 	311 	349 	340 	354 	352 	356 	352 	346 i	355 i	343 e	346 e	329 
A,GEN,KG_HAB,BE	456 	455 	445 	436 	425 	412 	419 	411 	409 	416 	729 	755 	690 	688 	699 p
A,GEN,KG_HAB,BG	554 	508 	460 	438 	451 	431 	418 	453 	426 	465 i	432 	470 	488 	490 	: 
A,GEN,KG_HAB,CH	711 	692 	697 	706 	733 	728 	723 	709 	706 	709 	706 	704 	677 	678 	: 
A,GEN,KG_HAB,CY	711 	692 	681 	634 	613 	626 	638 	631 	651 	653 	614 	635 	654 	661 	688 p
A,GEN,KG_HAB,CZ	318 	320 	308 	307 	310 	316 	339 	489 b	494 	500 	543 	570 	549 	538 	: 
A,GEN,KG_HAB,DE	602 	626 	619 	615 	631 	632 	633 	627 	606 	609 e	641 	648 	608 	613 	628 e
A,GEN,KG_HAB,DK	: 	862 b	806 	813 	808 	822 	830 	820 	814 	844 	814 	800 	759 	759 	755 p
A,GEN,KG_HAB,EE	305 b	301 	280 	293 	357 b	359 	376 	390 	405 	369 	383 	395 	373 	373 	375 
A,GEN,KG_HAB,EL	532 	503 	495 	482 	488 	488 	498 	504 	515 	524 	499 b	509 	519 	523 	: 
A,GEN,KG_HAB,ES	510 	485 	468 	455 	448 	456 	464 	473 	475 	472 	463 	482 	485 	464 p	456 e
A,GEN,KG_HAB,EU27_2020	503 	499 	487 	479 	479 	481 	494 	500 	501 	505 i	521 	534 	514 	511 	517 i
A,GEN,KG_HAB,FI	470 	505 	506 	493 	482 	500 	504 	510 	551 	566 	609 	630 	522 	468 	457 
A,GEN,KG_HAB,FR	534 e	534 	527 e	520 	517 e	516 	553 e	558 e	557 e	555 e	534 e	564 e	534 e	527 e	530 ep
A,GEN,KG_HAB,HR	379 	384 	391 	407 	390 	398 	409 	424 	443 	459 	433 	456 	478 	475 	486 
A,GEN,KG_HAB,HU	403 	382 	402 	379 	386 	379 	381 	387 	384 	390 	406 	420 	407 	429 	414 
A,GEN,KG_HAB,IE	624 	616 	585 	: 	562 b	: 	580 	573 	595 	620 	637 b	619 	612 	590 	: 
A,GEN,KG_HAB,IS	484 	495 	511 	516 	535 	588 	655 	656 	702 	: 	614 	659 	595 	580 	: 
A,GEN,KG_HAB,IT	542 	523 	498 	490 	492 	490 	501 	493 	504 	503 	487 	495 	486 	489 	: 
A,GEN,KG_HAB,LT	404 	442 	445 	432 	432 	447 	442 	453 	461 	469 	480 	479 	465 	446 	462 
A,GEN,KG_HAB,LU	679 	666 	652 	616 	626 	607 	815 b	798 	803 	791 e	790 	793 	721 	718 	681 e
A,GEN,KG_HAB,LV	324 	350 	323 	350 	364 	404 	410 	411 	407 	439 	478 	461 	464 	437 	462 
A,GEN,KG_HAB,ME	: 	525 e	496 e	499 e	479 e	498 e	493 e	490 e	516 e	545 e	486 e	515 e	537 e	570 e	585 e
A,GEN,KG_HAB,MK	351 e	357 	381 	384 	370 	380 	: 	: 	412 	441 	441 e	459 e	467 e	480 e	: 
A,GEN,KG_HAB,MT	623 	622 	612 	604 	629 	643 	643 	667 	673 	697 	642 	611 	618 	603 	621 
A,GEN,KG_HAB,NL	571 	568 	549 	526 	527 	523 	520 	513 	511 	508 	533 	513 p	473 p	465 	473 
A,GEN,KG_HAB,NO	469 	485 	477 	496 	423 b	421 	754 b	748 	739 	776 	726 b	799 	768 	724 	716 
A,GEN,KG_HAB,PL	316 e	319 e	317 e	297 be	272 be	286 e	307 e	315 e	329 	336 	350 	370 	364 	367 	387 
A,GEN,KG_HAB,PT	516 	490 	453 	439 	452 	459 b	472 	484 	504 	510 	508 	510 	508 	505 	519 
A,GEN,KG_HAB,RO	313 b	259 	251 	254 	249 	247 	261 	272 	272 	280 	292 	302 	303 	305 	: 
A,GEN,KG_HAB,RS	363 	375 	364 	336 	299 	259 	268 	306 	319 	338 	427 	442 	473 	467 	: 
A,GEN,KG_HAB,SE	441 	453 	454 	455 	443 	451 	447 	452 	434 	449 	431 b	418 	395 	392 	427 b
A,GEN,KG_HAB,SI	490 	415 	362 	414 b	432 	449 	457 	471 	486 	504 	487 	511 	487 	517 	526 
A,GEN,KG_HAB,SK	319 	311 	306 	304 	320 	329 	348 	378 	414 	421 	478 	497 	478 	472 	489 
A,GEN,KG_HAB,TR	407 	416 e	410 	406 e	405 e	400 e	426 be	425 e	424 e	424 e	415 	416 e	382 	380 e	402 
A,GEN,KG_HAB,XK	: 	: 	: 	: 	: 	178 	: 	229 	226 	252 	255 	271 	283 	277 i	267 i
A,GEN,THS_T,AL	: 	: 	: 	940 i	1229 i	1413 i	1300 e	1254 e	1325 	1087 	1048 	875 	820 	844 	: 
A,GEN,THS_T,AT	4701 	4807 	4883 	4905 	4833 	4836 	4928 	5018 	5119 	5220 	7438 b	7476 	7261 	7142 	: 
A,GEN,THS_T,BA	1276 	1307 	1303 	1192 	1335 	1249 	1244 	1235 	1244 	1228 	1206 e	1229 e	1184 e	1186 e	1123 
A,GEN,THS_T,BE	4972 	5023 	4944 	4867 	4762 	4643 	4746 	4672 	4677 	4779 	8408 	8753 	8055 	8104 	8295 p
A,GEN,THS_T,BG	4094 	3732 	3364 	3135 	3192 	3011 	2881 	3080 	2862 	3080 i	2829 	3058 	3157 	3156 	: 
A,GEN,THS_T,CH	5565 	5478 	5576 	5708 	6006 	6030 	6050 	5992 	6012 	6079 	6096 	6130 	5943 	6027 	: 
A,GEN,THS_T,CY	590 	589 	588 	547 	527 	540 	553 	551 	576 	586 	558 	585 	615 	633 	669 p
A,GEN,THS_T,CZ	3334 	3358 	3233 	3228 	3261 	3337 	3580 	5177 b	5248 	5338 	5814 	5991 	5854 	5840 	: 
A,GEN,THS_T,DE	49237 	50237 	49759 	49570 	51102 	51625 	52133 	51790 	50260 	50612 e	53322 	53871 	50606 	51017 	52471 e
A,GEN,THS_T,DK	: 	4803 b	4508 	4564 	4558 	4671 	4757 	4728 	4715 	4907 	4744 	4688 	4478 	4513 	4511 p
A,GEN,THS_T,EE	406 b	399 	371 	386 	470 b	473 	494 	514 	535 	490 	509 	525 	503 	512 	514 
A,GEN,THS_T,EL	5917 	5586 	5463 	5284 	5315 	5277 	5367 	5415 	5523 	5613 	5335 b	5381 	5420 	5440 	: 
A,GEN,THS_T,ES	23774 	22672 	21896 	21184 	20836 	21158 	21542 	22018 	22229 	22262 	21928 	22853 	23153 	22433 p	22292 e
A,GEN,THS_T,EU27_2020	222023 	219853 	214989 	211501 	211876 	213424 	219577 	222511 	223119 	225350 i	232627 	238108 	229690 	228993 	232350 i
A,GEN,THS_T,FI	2519 	2719 	2738 	2682 	2630 	2738 	2768 	2812 	3041 	3123 	3370 	3491 	2898 	2612 	2570 
A,GEN,THS_T,FR	34609 e	34790 	34484 e	34176 	34260 e	34344 	36891 e	37357 e	37380 e	37407 e	36096 e	38272 e	36421 e	36035 e	36313 ep
A,GEN,THS_T,HR	1630 	1645 	1670 	1721 	1637 	1654 	1680 	1716 	1768 	1812 	1693 	1767 	1844 	1833 	1879 
A,GEN,THS_T,HU	4033 	3809 	3988 	3738 	3795 	3712 	3721 	3768 	3729 	3780 	3931 	4042 	3911 	4115 	3957 
A,GEN,THS_T,IE	2846 	2823 	2693 	: 	2619 b	: 	2763 	2768 	2912 	3086 	3210 b	3164 	3191 	3135 	: 
A,GEN,THS_T,IS	154 	158 	164 	167 	175 	195 	220 	225 	247 	: 	225 	246 	227 	224 	: 
A,GEN,THS_T,IT	32440 	31386 	29994 	29573 	29652 	29524 	30112 	29572 	30165 	30023 	28945 	29254 	28692 	28840 	: 
A,GEN,THS_T,LT	1253 	1339 	1330 	1280 	1270 	1300 	1272 	1286 	1301 	1319 	1350 	1345 	1317 	1282 	1333 
A,GEN,THS_T,LU	344 	345 	346 	335 	348 	346 	474 b	476 	488 	491 e	498 	508 	471 	478 	461 e
A,GEN,THS_T,LV	680 	721 	658 	704 	726 	798 	802 	798 	785 	840 	909 	869 	872 	824 	863 
A,GEN,THS_T,ME	: 	326 e	308 e	310 e	298 e	310 e	307 e	305 e	321 e	339 e	302 e	319 e	332 e	353 e	365 e
A,GEN,THS_T,MK	721 e	735 	786 	793 	765 	786 	: 	: 	855 	916 	913 e	896 e	857 e	878 e	: 
A,GEN,THS_T,MT	258 	259 	257 	257 	273 	285 	292 	312 	326 	351 	331 	317 	328 	333 	354 
A,GEN,THS_T,NL	9484 	9479 	9203 	8840 	8894 	8866 	8861 	8792 	8806 	8806 	9300 	9003 p	8365 p	8316 	8504 
A,GEN,THS_T,NO	2295 	2403 	2392 	2518 	2175 b	2187 	3946 b	3949 	3927 	4151 	3905 b	4320 	4189 	3997 	3992 
A,GEN,THS_T,PL	12032 e	12129 e	12084 e	11295 be	10330 be	10863 e	11654 e	11969 e	12485 	12753 	13117 	13674 	13420 	13448 	14158 
A,GEN,THS_T,PT	5457 	5178 	4766 	4598 	4710 	4769 b	4891 	5007 	5213 	5281 	5279 	5311 	5323 	5338 	5550 
A,GEN,THS_T,RO	6343 b	5216 	5044 	5071 	4956 	4904 	5143 	5333 	5296 	5430 	5619 	5777 	5767 	5822 	: 
A,GEN,THS_T,RS	2650 	2710 	2620 	2410 	2130 	1840 	1890 	2150 	2230 	2350 	2947 	3022 	3179 	3095 	: 
A,GEN,THS_T,SE	4140 	4278 	4324 	4371 	4295 	4422 	4439 	4551 	4416 	4611 	4460 b	4352 	4139 	4134 	4513 b
A,GEN,THS_T,SI	1004 	852 	744 	853 b	892 	926 	943 	974 	1009 	1052 	1024 	1077 	1029 	1097 	1118 
A,GEN,THS_T,SK	1719 	1679 	1657 	1645 	1733 	1784 	1890 	2058 	2254 	2299 	2612 	2705 	2597 	2561 	2649 
A,GEN,THS_T,TR	29733 	30862 e	30786 	30920 e	31230 e	31283 e	33763 be	34173 e	34533 e	35017 e	34581 	35022 e	32422 	32457 e	34371 
A,GEN,THS_T,XK	: 	: 	: 	: 	: 	319 	: 	410 	407 	451 	456 	485 	501 	490 	469 
A,PRP_REU,KG_HAB,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 
A,PRP_REU,KG_HAB,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4 b	5 	5 	4 	: 
A,PRP_REU,KG_HAB,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	7 	9 	10 	10 p
A,PRP_REU,KG_HAB,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	0 	: 
A,PRP_REU,KG_HAB,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 
A,PRP_REU,KG_HAB,CY	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	2 	2 	2 	3 	2 p
A,PRP_REU,KG_HAB,CZ	: 	: 	: 	: 	: 	: 	: 	0 b	0 	0 	0 	0 	0 	0 	: 
A,PRP_REU,KG_HAB,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8 	15 	3 	: 	: 
A,PRP_REU,KG_HAB,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	3 	5 	5 p
A,PRP_REU,KG_HAB,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	0 
A,PRP_REU,KG_HAB,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	1 	: 
A,PRP_REU,KG_HAB,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	1 	1 	1 
A,PRP_REU,KG_HAB,FR	: 	: 	: 	: 	: 	: 	2 e	2 e	3 e	3 e	2 e	3 e	3 e	3 e	3 ep
A,PRP_REU,KG_HAB,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 
A,PRP_REU,KG_HAB,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	3 	3 	4 	: 
A,PRP_REU,KG_HAB,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	0 	: 
A,PRP_REU,KG_HAB,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	1 	2 	3 	3 
A,PRP_REU,KG_HAB,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 e
A,PRP_REU,KG_HAB,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	0 	: 	11 	12 
A,PRP_REU,KG_HAB,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 
A,PRP_REU,KG_HAB,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 
A,PRP_REU,KG_HAB,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	2 	2 
A,PRP_REU,KG_HAB,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 
A,PRP_REU,KG_HAB,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	: 	: 
A,PRP_REU,KG_HAB,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 
A,PRP_REU,KG_HAB,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 b	0 	0 	1 	2 b
A,PRP_REU,KG_HAB,SI	: 	: 	: 	: 	: 	: 	: 	: 	1 	0 	0 	1 	1 	1 	1 
A,PRP_REU,KG_HAB,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3 	0 	0 	0 	0 
A,PRP_REU,KG_HAB,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	0 i	0 i
A,PRP_REU,THS_T,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 
A,PRP_REU,THS_T,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	33 b	42 	44 	38 	: 
A,PRP_REU,THS_T,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22 	86 	110 	116 	120 p
A,PRP_REU,THS_T,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	1 	: 
A,PRP_REU,THS_T,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 
A,PRP_REU,THS_T,CY	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	2 	2 	2 	2 	2 p
A,PRP_REU,THS_T,CZ	: 	: 	: 	: 	: 	: 	: 	0 b	0 	0 	0 	0 	0 	0 	: 
A,PRP_REU,THS_T,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	695 	1223 	278 	: 	: 
A,PRP_REU,THS_T,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7 	21 	27 	32 p
A,PRP_REU,THS_T,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	0 
A,PRP_REU,THS_T,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8 	11 	: 
A,PRP_REU,THS_T,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	8 	4 	7 
A,PRP_REU,THS_T,FR	: 	: 	: 	: 	: 	: 	152 e	161 e	174 e	194 e	150 e	175 e	207 e	221 e	223 ep
A,PRP_REU,THS_T,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 
A,PRP_REU,THS_T,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12 	14 	17 	19 	: 
A,PRP_REU,THS_T,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	0 	: 
A,PRP_REU,THS_T,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	1 	2 	4 	7 	10 
A,PRP_REU,THS_T,LU	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	0 	0 e
A,PRP_REU,THS_T,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	0 	: 	21 	23 
A,PRP_REU,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 
A,PRP_REU,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 
A,PRP_REU,THS_T,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	1 	1 
A,PRP_REU,THS_T,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 
A,PRP_REU,THS_T,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	: 	: 
A,PRP_REU,THS_T,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 
A,PRP_REU,THS_T,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 b	3 	4 	7 	22 b
A,PRP_REU,THS_T,SI	: 	: 	: 	: 	: 	: 	: 	: 	1 	1 	0 	1 	2 	1 	1 
A,PRP_REU,THS_T,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18 	0 	0 	0 	0 
A,PRP_REU,THS_T,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 	0 	0 
A,RCV_E,KG_HAB,AL	: 	: 	: 	3 	2 	8 	7 	8 	13 	3 	4 	6 	13 	14 	: 
A,RCV_E,KG_HAB,AT	196 	200 	201 	202 	205 	212 	212 	221 	224 	226 	298 b	296 	284 	277 	: 
A,RCV_E,KG_HAB,BA	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	0 	0 	0 
A,RCV_E,KG_HAB,BE	170 	169 	172 	182 	182 	179 	182 	173 	174 	176 	353 	332 	311 	303 	305 p
A,RCV_E,KG_HAB,BG	0 	0 	0 	7 	7 	12 	16 	15 	31 	16 i	20 	13 	15 	16 	: 
A,RCV_E,KG_HAB,CH	352 	345 	348 	346 	341 	344 	343 	337 	335 	333 	333 	336 	324 	325 	: 
A,RCV_E,KG_HAB,CY	0 	0 	0 	0 	5 	0 	2 	2 	5 	6 	9 	15 	16 	16 	17 
A,RCV_E,KG_HAB,CZ	47 e	58 e	62 e	60 e	57 e	56 e	55 e	85 b	82 	81 	68 	69 	67 	76 	: 
A,RCV_E,KG_HAB,DE	94 	101 	110 	142 	143 	148 	173 	193 	189 	192 e	187 	184 	176 	179 	187 e
A,RCV_E,KG_HAB,DK	: 	474 b	446 	447 	430 	422 	419 	421 	397 	401 	435 	395 	363 	387 	386 p
A,RCV_E,KG_HAB,EE	0 	0 	35 	163 	169 	185 	184 	165 	167 	167 	164 	192 	157 	159 	158 
A,RCV_E,KG_HAB,EL	0 	1 	3 	3 	2 	2 	3 	5 	8 	7 	8 	8 	8 	9 	: 
A,RCV_E,KG_HAB,ES	44 	50 	45 	53 	52 	58 	56 	60 	55 	52 	47 	51 	50 	46 p	47 e
A,RCV_E,KG_HAB,EU27_2020	91 	99 	102 	112 	114 	110 	119 	129 	128 	129 i	136 	135 	130 	129 	131 i
A,RCV_E,KG_HAB,FI	82 	126 	171 	209 	241 	239 	276 	299 	314 	314 	349 	381 	289 	252 	233 
A,RCV_E,KG_HAB,FR	179 e	182 	180 e	179 	179 e	180 	174 e	172 e	173 e	170 e	174 e	173 e	176 e	172 e	169 ep
A,RCV_E,KG_HAB,HR	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	1 	1 	1 	8 	7 
A,RCV_E,KG_HAB,HU	41 	41 	37 	34 	38 	54 	57 	63 	52 	53 	48 	52 	48 	53 	54 
A,RCV_E,KG_HAB,IE	24 	43 	93 	: 	192 	: 	170 	182 	254 	284 	268 	257 	262 	251 	: 
A,RCV_E,KG_HAB,IS	31 	25 	22 	15 	0 	1 	2 	0 	3 	: 	48 	39 	75 	103 	: 
A,RCV_E,KG_HAB,IT	90 	92 	92 	99 	97 	49 b	64 	90 	93 	96 	92 	91 	87 	90 	: 
A,RCV_E,KG_HAB,LT	0 	2 	0 	31 	38 	51 	77 	83 	58 	69 	124 	168 	177 	180 	179 
A,RCV_E,KG_HAB,LU	256 	261 	249 	243 	237 	274 	379 b	372 	375 	369 e	341 	323 	299 	292 	273 e
A,RCV_E,KG_HAB,LV	0 	0 	1 	6 	5 	8 	10 	11 	8 	15 	13 	16 	14 	26 	30 
A,RCV_E,KG_HAB,ME	: 	: 	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e
A,RCV_E,KG_HAB,MK	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 
A,RCV_E,KG_HAB,MT	0 	6 	2 	1 	2 	2 	2 	0 	0 	0 	0 	25 	8 	16 	13 
A,RCV_E,KG_HAB,NL	171 	237 	263 	250 	246 	239 	229 	220 	213 	206 	217 	205 p	189 p	184 	187 
A,RCV_E,KG_HAB,NO	236 	271 	268 	285 	224 b	221 	404 b	396 	378 	384 	337 b	399 	393 	339 	338 
A,RCV_E,KG_HAB,PL	0 	0 	0 	15 be	31 be	35 e	56 e	72 e	74 e	72 e	71 	73 	74 	73 	85 
A,RCV_E,KG_HAB,PT	100 	103 	88 	104 	93 	91 	92 	96 	92 	96 	109 	120 	103 	92 	116 
A,RCV_E,KG_HAB,RO	1 b	2 	4 	5 	7 	6 	11 	12 	12 	13 	15 	17 	20 	16 	: 
A,RCV_E,KG_HAB,RS	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	2 	2 	2 	: 
A,RCV_E,KG_HAB,SE	226 	237 	239 	233 	222 	233 	228 	239 	232 	236 	259 b	249 	233 	230 	225 
